dataPlatform,schema,dataset,class,field,sqlDataType,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,ordinalPosition,pk,pii,classification,nullPercentage,V2
BILLING_DB,public,balance,balance,available_amount,-5,Column,int8,TRUE,19,INTEGER,4,,,,,
BILLING_DB,public,balance,balance,balance_id,-5,Column,int8,FALSE,19,INTEGER,2,true,,,,
BILLING_DB,public,balance,balance,balance_ref_id,-5,Column,int8,TRUE,19,INTEGER,3,,,,,
BILLING_DB,public,balance,balance,reset_amount,-5,Column,int8,TRUE,19,INTEGER,5,,,,,
BILLING_DB,public,balance,balance,reset_date,93,Column,timestamp,TRUE,29,DATETIME,6,,,,,
BILLING_DB,public,balance,balance,subscriber_id,-5,Column,int8,TRUE,19,INTEGER,1,,,,,
BILLING_DB,public,contract_offer_mapping,contract_offer_mapping,contract_ref_id,-5,Column,int8,TRUE,19,INTEGER,1,,,,,
BILLING_DB,public,contract_offer_mapping,contract_offer_mapping,offer_contract_description,12,Column,varchar,TRUE,200,STRING,3,,,,,
BILLING_DB,public,contract_offer_mapping,contract_offer_mapping,offer_ref_id,-5,Column,int8,TRUE,19,INTEGER,2,,,,,
BILLING_DB,public,invoice,invoice,balance,-5,Column,int8,TRUE,19,INTEGER,6,,,,,
BILLING_DB,public,invoice,invoice,due_date,93,Column,timestamp,TRUE,29,DATETIME,4,,,,,
BILLING_DB,public,invoice,invoice,invoice_id,-5,Column,int8,FALSE,19,INTEGER,2,true,,,,
BILLING_DB,public,invoice,invoice,invoice_image,-2,Column,bytea,TRUE,2147483647,BYTES,7,,true,STATEMENT,,
BILLING_DB,public,invoice,invoice,issued_date,93,Column,timestamp,TRUE,29,DATETIME,3,,,,,
BILLING_DB,public,invoice,invoice,status,12,Column,varchar,TRUE,2000,STRING,5,,,,,
BILLING_DB,public,invoice,invoice,subscriber_id,-5,Column,int8,TRUE,19,INTEGER,1,,,,,
BILLING_DB,public,offer,offer,from_date,93,Column,timestamp,TRUE,29,DATETIME,5,,,,,
BILLING_DB,public,offer,offer,offer_description,12,Column,varchar,TRUE,200,STRING,4,,,,,
BILLING_DB,public,offer,offer,offer_id,-5,Column,int8,FALSE,19,INTEGER,2,true,,,,
BILLING_DB,public,offer,offer,offer_ref_id,-5,Column,int8,TRUE,19,INTEGER,3,,,,,
BILLING_DB,public,offer,offer,subscriber_id,-5,Column,int8,TRUE,19,INTEGER,1,,,,,
BILLING_DB,public,offer,offer,to_date,93,Column,timestamp,TRUE,29,DATETIME,6,,,,,
BILLING_DB,public,payment,payment,amount,12,Column,varchar,TRUE,200,STRING,5,,,,,
BILLING_DB,public,payment,payment,invoice_id,-5,Column,int8,TRUE,19,INTEGER,1,,,,,
BILLING_DB,public,payment,payment,issued_date,93,Column,timestamp,TRUE,29,DATETIME,3,,,,,
BILLING_DB,public,payment,payment,payment_id,-5,Column,int8,FALSE,19,INTEGER,2,,,,,
BILLING_DB,public,payment,payment,status,12,Column,varchar,TRUE,200,STRING,4,,,,,
BILLING_DB,public,subscriber,subscriber,first_name,12,Column,varchar,TRUE,200,STRING,5,,true,FIRST_NAME,,
BILLING_DB,public,subscriber,subscriber,imsi,12,Column,varchar,TRUE,200,STRING,3,,true,DEVICE_ID,,
BILLING_DB,public,subscriber,subscriber,last_name,12,Column,varchar,TRUE,200,STRING,6,,true,LAST_NAME,,
BILLING_DB,public,subscriber,subscriber,msisdn,12,Column,varchar,TRUE,200,STRING,2,,true,TELEPHONE_NUMBER,,
BILLING_DB,public,subscriber,subscriber,sim,12,Column,varchar,TRUE,200,STRING,4,,true,CREDIT_CARD,,
BILLING_DB,public,subscriber,subscriber,subscriber_id,-5,Column,int8,FALSE,19,INTEGER,1,true,,,,
BILLING_DB,public,subscriber,subscriber,subscriber_type,12,Column,varchar,TRUE,200,STRING,7,,,,,
BILLING_DB,public,subscriber,subscriber,vip_status,12,Column,varchar,TRUE,200,STRING,8,,,,,
BILLING_DB,public,subscription_types,subscription_types,type_description,12,Column,text,TRUE,2147483647,STRING,3,,,,,
BILLING_DB,public,subscription_types,subscription_types,type_id,4,Column,serial,FALSE,10,INTEGER,1,true,,,,
BILLING_DB,public,subscription_types,subscription_types,type_name,12,Column,varchar,FALSE,100,STRING,2,,true,NAME,,
CRM_DB,public,activity,activity,activity_id,-5,Column,int8,FALSE,19,INTEGER,2,true,,,,
CRM_DB,public,activity,activity,activity_note,12,Column,varchar,TRUE,2000,STRING,4,,true,NOTES,,
CRM_DB,public,address,address,city,12,Column,varchar,TRUE,200,STRING,5,,true,CITY,,
CRM_DB,public,address,address,country,12,Column,varchar,TRUE,200,STRING,8,,true,COUNTRY,,
CRM_DB,public,address,address,street_address_1,12,Column,varchar,TRUE,200,STRING,3,,true,STREET,,
CRM_DB,public,address,address,street_address_2,12,Column,varchar,TRUE,200,STRING,4,,true,STREET,1.0,
CRM_DB,public,address,address,zip,12,Column,varchar,TRUE,200,STRING,6,,true,POSTAL_CODE,,
CRM_DB,public,case_note,case_note,case_id,-5,Column,int8,TRUE,19,INTEGER,1,,,,,
CRM_DB,public,case_note,case_note,note_date,93,Column,timestamp,TRUE,29,DATETIME,3,,,,,
CRM_DB,public,case_note,case_note,note_id,-5,Column,int8,FALSE,19,INTEGER,2,true,,,,
CRM_DB,public,cases,cases,activity_id,-5,Column,int8,TRUE,19,INTEGER,1,,,,,
CRM_DB,public,contract,contract,contract_id,-5,Column,int8,FALSE,19,INTEGER,2,true,,,,
CRM_DB,public,contract,contract,from_date,93,Column,timestamp,TRUE,29,DATETIME,6,,,,,
CRM_DB,public,contract,contract,to_date,93,Column,timestamp,TRUE,29,DATETIME,7,,,,,
CRM_DB,public,customer,customer,ssn,12,Column,varchar,TRUE,20,STRING,2,,true,SOCIAL_SECURITY_NUMBER,,
CRM_DB,public,devicestable2017,devicestable2017,browser_me,12,Column,varchar,TRUE,200,STRING,68,,,,,
CRM_DB,public,devicestable2017,devicestable2017,chipbluetooth,12,Column,varchar,TRUE,200,STRING,10,,,,,
CRM_DB,public,devicestable2017,devicestable2017,chipnfc,12,Column,varchar,TRUE,200,STRING,9,,,,,
CRM_DB,public,devicestable2017,devicestable2017,chipsetmodel,12,Column,varchar,TRUE,200,STRING,47,,,,,
CRM_DB,public,devicestable2017,devicestable2017,cookie,2,Column,numeric,TRUE,0,REAL,84,,,,,
CRM_DB,public,devicestable2017,devicestable2017,cpu,12,Column,varchar,TRUE,200,STRING,48,,,,,
CRM_DB,public,devicestable2017,devicestable2017,csd,2,Column,numeric,TRUE,0,REAL,99,,,,0.91,
CRM_DB,public,devicestable2017,devicestable2017,css_transforms,2,Column,numeric,TRUE,0,REAL,119,,,,,
CRM_DB,public,devicestable2017,devicestable2017,devicepixelratio,2,Column,numeric,TRUE,0,REAL,34,,,,,
CRM_DB,public,devicestable2017,devicestable2017,edge,2,Column,numeric,TRUE,0,REAL,102,,,,,
CRM_DB,public,devicestable2017,devicestable2017,gprs,2,Column,numeric,TRUE,0,REAL,101,,,,,
CRM_DB,public,devicestable2017,devicestable2017,gpu,12,Column,varchar,TRUE,200,STRING,51,,,,,
CRM_DB,public,devicestable2017,devicestable2017,hsdpa,2,Column,numeric,TRUE,0,REAL,103,,,,,
CRM_DB,public,devicestable2017,devicestable2017,image__gif87,2,Column,numeric,TRUE,0,REAL,77,,,,,
CRM_DB,public,devicestable2017,devicestable2017,image__jpg,2,Column,numeric,TRUE,0,REAL,79,,,,,
CRM_DB,public,devicestable2017,devicestable2017,interl_storage_capacity,12,Column,varchar,TRUE,200,STRING,54,,,,,
CRM_DB,public,devicestable2017,devicestable2017,interlmodel,12,Column,varchar,TRUE,300,STRING,21,,,,,
CRM_DB,public,devicestable2017,devicestable2017,isereader,2,Column,numeric,TRUE,0,REAL,40,,,,,
CRM_DB,public,devicestable2017,devicestable2017,ismobilephone,2,Column,numeric,TRUE,0,REAL,38,,true,TELEPHONE_NUMBER,,
CRM_DB,public,devicestable2017,devicestable2017,issettupbox,2,Column,numeric,TRUE,0,REAL,43,,,,,
CRM_DB,public,devicestable2017,devicestable2017,istablet,2,Column,numeric,TRUE,0,REAL,39,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_device_motion,2,Column,numeric,TRUE,0,REAL,131,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_device_orientation,2,Column,numeric,TRUE,0,REAL,130,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_geo_location,2,Column,numeric,TRUE,0,REAL,122,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_indexeddb,2,Column,numeric,TRUE,0,REAL,123,,,,0.55,
CRM_DB,public,devicestable2017,devicestable2017,js_json,2,Column,numeric,TRUE,0,REAL,97,,,,0.45,
CRM_DB,public,devicestable2017,devicestable2017,js_modify_css,2,Column,numeric,TRUE,0,REAL,92,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_modify_dom,2,Column,numeric,TRUE,0,REAL,91,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_query_selector,2,Column,numeric,TRUE,0,REAL,133,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_support_basic_java_script,2,Column,numeric,TRUE,0,REAL,90,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_support_console_log,2,Column,numeric,TRUE,0,REAL,96,,,,0.45,
CRM_DB,public,devicestable2017,devicestable2017,js_support_event_listener,2,Column,numeric,TRUE,0,REAL,94,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_web_gl,2,Column,numeric,TRUE,0,REAL,126,,,,,
CRM_DB,public,devicestable2017,devicestable2017,js_xhr,2,Column,numeric,TRUE,0,REAL,95,,,,,
CRM_DB,public,devicestable2017,devicestable2017,markup_xhtml_mp_1v0,2,Column,numeric,TRUE,0,REAL,72,,,,,
CRM_DB,public,devicestable2017,devicestable2017,markup_xhtml_mp_1v1,2,Column,numeric,TRUE,0,REAL,73,,,,,
CRM_DB,public,devicestable2017,devicestable2017,markup_xhtml_mp_1v2,2,Column,numeric,TRUE,0,REAL,74,,,,,
CRM_DB,public,devicestable2017,devicestable2017,midi_polyphonic,2,Column,numeric,TRUE,0,REAL,136,,,,0.48,
CRM_DB,public,devicestable2017,devicestable2017,mobile_device,2,Column,numeric,TRUE,0,REAL,27,,true,TELEPHONE_NUMBER,,
CRM_DB,public,devicestable2017,devicestable2017,mp3,2,Column,numeric,TRUE,0,REAL,138,,,,,
CRM_DB,public,devicestable2017,devicestable2017,nfc,2,Column,numeric,TRUE,0,REAL,36,,,,,
CRM_DB,public,devicestable2017,devicestable2017,nonremovableuicc,12,Column,varchar,TRUE,200,STRING,15,,,,,
CRM_DB,public,devicestable2017,devicestable2017,removableuicc,12,Column,varchar,TRUE,200,STRING,13,,,,,
CRM_DB,public,devicestable2017,devicestable2017,screenheight,2,Column,numeric,TRUE,0,REAL,31,,,,,
CRM_DB,public,devicestable2017,devicestable2017,sim_size,12,Column,varchar,TRUE,200,STRING,53,,,,,
CRM_DB,public,devicestable2017,devicestable2017,uri_scheme_sms_to,2,Column,numeric,TRUE,0,REAL,83,,,,0.96,
